ID,Title,Conference,,Year,Topic,,Enough info?,,t-based,,Threshold t= 1,benign,malicious,,Threshold t>=N,# of vendor,,Threshold t>=%,% of vendor,,Reputable,No aggregation,,Label Dynamics,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Finding Unknown Malice in 10 Seconds: Mass Vetting for New Threats at the Google-Play Scale.,Usenix Security,,2015,APK,,1,,1,,1,1,,,,,,,,,0,,,0,,
2,A Look at Targeted Attacks Through the Lense of an NGO.,Usenix Security,,2014,MS Word/PDF/PE,,1,,1,,1,,1,,,,,,,,0,0,,0,,
3,"UNVEIL: A Large-Scale, Automated Approach to Detecting Ransomware.",Usenix Security,,2016,PE,,1,,1,,1,,1,,,,,,,,0,0,,1,,
4,When Governments Hack Opponents: A Look at Actors and Technology.,Usenix Security,,2014,MS Word/PE,,1,,1,,1,,1,,,,,,,,0,,,0,,
5,Needles in a haystack: mining information from public dynamic analysis sandboxes for malware intelligence,Usenix Security,,2015,PE,,1,,0,,,,,,,,,,,,0,1,,1,,
6,Investigating Commercial Pay-Per-Install and the Distribution of Unwanted Software.,Usenix Security,,2016,PE,,1,,1,,1,,1,,,,,,,,0,,,0,,
7,Measuring PUP Prevalence and PUP Distribution through Pay-Per-Install Services.,Usenix Security,,2016,PE,,1,,1,,,,,,1,4,,,,,0,,,0,,
8,Tackling runtime-based obfuscation in Android with TIRO,Usenix Security,,2018,APK,,1,,1,,1,,1,,,,,,,,0,,,0,,
9,The broken shield: measuring revocation effectiveness in the windows code-signing PKI,Usenix Security,,2018,PE,,1,,1,,,,,,1,10,,,,,0,,,0,,
10,Trends and Lessons from Three Years Fighting Malicious Extensions.,Usenix Security,,2015,Chrome Extensions,,1,,1,,1,1,0,,,,,,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Execute This! Analyzing Unsafe and Malicious Dynamic Code Loading in Android Applications.,NDSS,,2014,APK,,1,,1,,1,,1,,,,,,,,0,0,,0,,
2,CAMP: Content-Agnostic Malware Protection.,NDSS,,2013,PE/macOS DMG,,1,,1,,0,,,,,,,1,20,,0,,,1,,
3,Nazca: Detecting Malware Distribution in Large-Scale Networks.,NDSS,,2014,PE,,1,,1,,0,,,,1,2,,,,,0,,,0,,
4,Extract Me If You Can: Abusing PDF Parsers in Malware Detectors.,NDSS,,2016,PDF,,1,,1,,0,,,,1,15,,,,,0,,,0,,
5,DREBIN: Effective and Explainable Detection of Android Malware in Your Pocket.,NDSS,,2014,APK,,1,,1,,0,,,,1,2,,,,,1,,,0,,
6,Detection of malicious pdf files based on hierarchical document structure,NDSS,,2013,PDF,,1,,1,,0,,,,1,5,,,,,0,,,1,,
7,Things you may not know about android (un) packers: a systematic study based on whole-system emulation,NDSS,,2018,APK,,1,,1,,0,,,,,,,1,50,,0,,,0,,
8,"Apps, trackers, privacy, and regulators",NDSS,,2018,URL,,1,,1,,1,,1,,,,,,,,0,,,0,,
9,Jsgraph: Enabling reconstruction of web attacks via efficient tracking of live in-browser javascript executions,NDSS,,2018,PE/macOS DMG,,1,,0,,,,,,,,,,,,0,1,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Poster: A Low-cost Detection Scheme on Fast-flux Malware Distribution,S&P,,2016,PE,,1,,1,,0,,,,1,2,,,,,0,,,1,,
2,Prudent practices for designing malware experiments: Status quo and outlook,S&P,,2012,PE,,1,,1,,1,1,,,,,,,,,0,,,0,,
3,Ad injection at scale: Assessing deceptive advertisement modifications,S&P,,2015,PE,,1,,1,,1,,1,,,,,,,,1,,,0,,
4,A Lustrum of malware network communication: Evolution and insights,S&P,,2017,PE,,1,,1,,1,1,,,,,,,,,0,,,0,,
5,Cookieless monster: Exploring the ecosystem of web-based device fingerprinting,S&P,,2013,PE,,1,,1,,1,1,,,,,,,,,0,,,0,,
6,Automatic reverse engineering of malware emulators,S&P,,2009,PE,,1,,1,,1,,1,,,,,,,,0,,,0,,
7,Effective real-time android application auditing,S&P,,2015,APK,,1,,0,,,,,,,,,,,,0,1,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Detecting money-stealing apps in alternative android markets,CCS,,2015,APK,,1,,1,,1,,1,,,,,,,,0,,,0,,
2,Semantics-aware android malware classification using weighted contextual api dependency graphs,CCS,,2014,APK,,1,,1,,1,1,0,,,,,,,,1,,,0,,
3,Bitshred: feature hashing malware for scalable triage and semantic analysis,CCS,,2011,PE,,1,,1,,,,,,1,20,,,,,0,,,0,,
4,Autoprobe: Towards automatic active malicious server probing using dynamic binary analysis,CCS,,2014,URL,,0,,0,,,,,,,,,,,,,,,,,
5,Manufacturing compromise: the emergence of exploit-as-a-service,CCS,,2012,PE,,0,,0,,,,,,,,,,,,,,,,,
6,Certified Malware: Measuring Breaches of Trust in the Windows Code-Signing PKI,CCS,,2017,PE,,1,,1,,,,,,1,20,,,,,0,,,0,,
7,Blade: an attack-agnostic approach for preventing drive-by malware infections,CCS,,2010,PE,,1,,0,,,,,,,,,,,,0,1,,0,,
8,POSTER: Toward Automating the Generation of Malware Analysis Reports Using the Sandbox Logs,CCS,,2016,PE,,0,,0,,,,,,,,,,,,,,,,,
9,Capturing Malware Propagations with Code Injections and Code-Reuse Attacks,CCS,,2017,PE,,1,,1,,,,,,1,40,,,,,0,,,0,,
10,Towards Paving the Way for Large-Scale Windows Malware Analysis: Generic Binary Unpacking with Orders-of-Magnitude Performance Boost,CCS,,2018,PE,,1,,1,,,,,,1,36,,,,,0,,,0,,
11,How you get shot in the back: A systematical study about cryptojacking in the real world,CCS,,2018,URL,,1,,1,,1,1,0,,,,,,,,0,,,0,,
